LATITUDE,LONGITUDE,AGE,SN
418,53.5098,-129.235,92.1,1.05857
419,53.6155,-129.243,90.7,1.06905
420,53.6862,-128.796,58.1,0.756583
421,52.1645,-128.252,106.8,0.948045
422,52.1645,-128.252,107.5,1.29206
423,52.1128,-128.317,107.6,0.981027
424,52.0724,-128.373,100.0,0.890998
425,52.535,-128.28799999999998,123.3,0.566109
426,53.1035,-129.149,94.5,1.25952
427,53.1313,-129.144,94.5,1.4416
428,53.1669,-129.165,114.0,1.27593
429,53.265,-129.173,100.9,1.01344
430,53.355,-129.336,97.0,0.555592
431,53.4017,-129.282,96.4,1.6913
432,53.0919,-129.748,152.7,0.536982
433,53.1344,-129.74200000000002,151.0,1.58402
434,53.126000000000005,-129.668,149.0,1.03727
435,53.1218,-129.493,146.7,0.844905
436,53.1191,-129.54,150.9,0.835338
437,53.1718,-129.477,146.5,0.739276
438,53.0924,-129.394,144.2,0.562562
439,53.0291,-129.188,147.5,1.46369
440,53.0725,-129.195,148.4,2.78485
441,53.6885,-129.082,188.0,1.19626
442,53.9665,-128.654,322.0,0.73603
443,52.3512,-127.20200000000001,13.0,2.04288
444,52.2878,-127.285,13.0,10.7046
445,52.6221,-127.055,13.0,1.6008
446,52.2735,-127.603,13.0,2.5295
447,52.1771,-128.091,13.0,9.18392
448,52.177,-128.091,13.0,1.84311
449,52.1792,-128.109,13.0,8.58298
450,52.5035,-128.70600000000002,13.0,2.59901
451,52.5035,-128.70600000000002,13.0,2.40245
452,52.3545,-128.16299999999998,13.0,2.90156
453,53.0504,-129.624,13.0,1.31857
454,53.6678,-129.166,13.0,1.23917
455,53.4327,-128.511,13.0,1.35685
456,53.4954,-128.63,13.0,1.46756
457,53.8957,-128.711,13.0,1.64607
458,53.8933,-128.711,13.0,1.59376
459,43.9058,-121.006,7.08,0.94
460,43.922,-121.005,7.75,1.24
461,43.9227,-121.005,7.75,1.21
462,43.9228,-121.005,7.75,1.19
463,43.9231,-121.005,7.75,1.23
464,43.9228,-121.00299999999999,7.75,1.12
465,43.9229,-121.00299999999999,5.58,1.5
466,43.9281,-121.005,3.98,1.23
467,43.6465,-120.848,3.98,1.04
468,43.0913,-120.838,5.58,0.79
469,43.0913,-120.838,5.26,1.31
470,43.7488,-120.96799999999999,5.26,0.94
471,43.0907,-120.838,5.89,0.53
472,43.3338,-120.671,0.74,0.74
473,43.5909,-121.15,0.74,1.1
474,43.5535,-121.292,1.59,1.47
475,43.5228,-120.86399999999999,1.59,1.15
476,43.7241,-120.99799999999999,1.59,0.59
477,43.7925,-120.855,7.51,1.38
478,43.5947,-120.73200000000001,7.51,1.07
479,43.6036,-120.785,7.51,1.41
480,43.9266,-120.814,7.51,1.23
481,43.9575,-120.84,7.76,1.2
482,43.7187,-120.652,1.01,0.87
483,43.6133,-120.68700000000001,1.3,1.33
484,43.3458,-120.68,1.3,1.51
485,43.5211,-120.78,1.3,0.38
486,43.11600000000001,-120.95100000000001,1.3,0.84
487,43.1157,-120.949,4.79,1.05
488,43.1151,-120.944,4.79,0.72
489,43.4395,-120.27,4.79,1.63
490,43.7284,-120.406,2.3,0.6
491,43.7851,-120.428,2.3,0.89
492,43.8174,-120.479,2.92,1.72
493,43.6538,-120.103,1.97,1.07
494,43.6547,-120.1,1.97,0.27
495,43.4659,-119.82,14.25,0.66
496,43.5402,-119.781,14.25,0.91
497,43.4685,-119.553,2.2,1.73
498,43.2466,-119.53,7.54,0.84
499,43.2466,-119.53,7.54,1.07
500,43.2463,-119.531,7.54,0.95
501,43.3117,-119.53399999999999,7.54,0.89
502,43.2182,-120.525,7.54,0.9
503,43.2198,-120.542,7.54,1.16
504,43.1264,-120.391,7.54,1.44
505,43.1261,-120.39,5.9,0.83
506,42.6755,-120.012,5.9,0.4
507,42.5711,-119.65100000000001,7.21,0.69
508,42.5808,-119.59899999999999,7.21,0.66
509,42.8023,-119.51100000000001,7.21,1.71
510,42.8098,-119.50299999999999,7.21,1.69
511,42.812,-119.507,7.21,1.24
512,43.056999999999995,-118.958,7.68,1.39
513,43.0803,-118.736,7.68,0.57
514,43.1316,-118.66,1.23,1.71
515,43.1925,-118.819,1.47,0.88
516,43.1925,-118.819,1.47,0.68
517,43.2345,-118.74600000000001,1.47,0.84
518,43.2551,-118.762,1.47,0.92
519,43.3228,-118.588,1.47,0.9
520,43.3055,-118.581,1.47,1.25
521,43.167,-118.445,10.42,0.81
522,43.1397,-118.444,0.139,0.44
523,43.1578,-118.663,0.139,0.7
524,43.4467,-119.00399999999999,2.54,0.92
525,17.89,-99.6317,59.9,3.8
526,17.89,-99.6317,59.9,2.9
527,17.85,-99.6575,59.9,1.9
528,17.85,-99.6575,59.9,2.6
529,17.85,-99.6575,59.9,2.3
530,17.85,-99.6575,59.9,4.9
531,17.85,-99.6575,59.9,3.6
532,17.89,-99.6967,59.9,2.5
533,17.89,-99.6967,59.9,3
534,17.89,-99.6967,59.9,2.6
535,17.89,-99.6967,59.9,1.5
536,17.89,-99.6967,59.9,2.9
537,17.89,-99.6967,59.9,1.6
538,17.8908,-99.6778,59.9,1.4
539,17.8908,-99.6778,59.9,3.6
540,17.8908,-99.6778,59.9,3.8
541,17.8908,-99.6778,59.9,1.4
542,17.8892,-99.715,59.9,1.7
543,41.7949,-109.08,1.95,2
544,41.7949,-109.08,1.95,1
545,41.7949,-109.08,1.95,3.9
546,41.7949,-109.08,1.95,5.2
547,41.6439,-109.35,3.0,5.5
548,41.6439,-109.35,3.0,3.7
549,41.6439,-109.35,3.0,4
550,41.6439,-109.35,3.0,5
551,41.6439,-109.35,3.0,3.3
552,41.6439,-109.35,3.0,3
553,41.9113,-109.023,2.03,3.9
554,41.9113,-109.023,2.03,5
555,41.9054,-109.008,2.53,5
556,41.9054,-109.008,2.53,4.1
557,41.9183,-109.021,1.47,6
558,41.7933,-108.927,0.95,5
559,40.4579,-105.85,28.02,13
560,40.475,-105.87,28.38,3
561,40.4979,-105.99700000000001,28.74,3
562,40.5344,-105.851,28.38,5
563,40.4989,-105.86399999999999,28.52,3
564,40.5725,-106.205,28.38,2
565,40.0364,-105.24600000000001,28.38,1
566,40.5064,-105.86,28.38,2
567,40.4061,-105.882,28.38,1
568,40.3975,-105.876,28.38,1
569,33.0605,-110.723,1000.0,< 5
570,33.0606,-110.74700000000001,1000.0,< 5
571,33.3679,-110.98299999999999,1000.0,< 5
572,33.345,-110.913,63.1,< 5
573,33.345,-110.913,63.1,< 5
574,33.345,-110.913,63.1,< 5
575,33.3417,-110.89200000000001,1000.0,< 5
576,33.3434,-110.899,1000.0,< 6
577,33.3441,-110.902,1000.0,< 6
578,33.3336,-110.83200000000001,1000.0,< 6
579,33.3492,-110.84700000000001,1000.0,< 5
580,33.3492,-110.84700000000001,1000.0,< 5
581,33.4286,-110.775,1000.0,< 5
582,33.4194,-110.786,1000.0,< 5
583,33.3751,-110.939,1000.0,< 5
584,33.3469,-110.993,1000.0,< 5
585,33.3469,-110.993,1000.0,< 5
586,33.351,-110.97399999999999,1000.0,< 5
587,33.351,-110.97399999999999,1000.0,< 5
588,33.3594,-110.852,1000.0,< 5
589,33.3575,-110.955,1000.0,< 5
590,33.3436,-110.898,61.7,< 6
591,33.4117,-110.95100000000001,1000.0,< 5
592,33.343,-110.897,1000.0,< 6
593,33.3536,-110.852,1000.0,< 5
594,33.3596,-110.87899999999999,1000.0,< 5
595,33.3968,-110.9,63.7,< 6
596,33.3858,-110.905,63.1,< 6
