LATITUDE,LONGITUDE,AGE,CU
34.08,139.52,-0.000135,119.0
31.47,140.03,1.305,178.5
12.73,145.48,50.0,28.0
34.08,139.52,-0.000366,148.0
34.75,139.42,1.305,342.0
34.75,139.42,1.305,90.0
31.8742,141.227,12.8,50.0
34.15,139.55,-4.7e-05,139.0
34.75,139.42,1.305,322.0
30.9082,141.738,2.8,13.0568
30.9082,141.738,2.8,18.0
34.08,139.52,-6.9e-05,179.0
14.0839,145.112,28.45,77.4
14.0839,145.112,28.45,87.8
31.8742,141.227,12.8,60.0
34.15,139.55,-4.7e-05,137.0
30.861,141.314,12.8,60.0
34.08,139.52,-0.000246,140.0
34.08,139.53,-6.9e-05,116.0
34.08,139.53,-6.9e-05,116.0
34.08,139.53,-6.9e-05,116.0
31.47,140.03,1.305,166.1
30.861,141.314,45.12,39.0
34.75,139.42,1.305,186.0
34.15,139.55,-0.000198,117.0
19.632,146.542,1.305,184.0
34.08,139.52,-0.000246,156.0
34.75,139.42,1.305,181.0
34.9844,139.13299999999998,-2e-05,11.0
29.1366,140.708,28.45,28.0
34.08,139.52,-0.000135,124.0
33.13,139.77,1.305,214.0
34.15,139.55,-4.7e-05,141.0
33.13,139.77,1.305,175.0
34.75,139.42,1.305,149.0
34.15,139.55,-4.7e-05,98.0
34.15,139.55,-4.7e-05,98.0
34.15,139.55,-4.7e-05,98.0
34.08,139.53,-6.9e-05,118.0
30.861,141.314,12.8,11.0
34.08,139.53,-6.9e-05,109.0
34.08,139.53,-6.9e-05,109.0
18.16,145.79,-2.8000000000000003e-05,198.0
33.13,139.77,1.305,46.0
34.08,139.52,-0.00047400000000000003,91.0
34.15,139.55,-4.7e-05,137.0
34.08,139.52,-0.00047400000000000003,128.0
29.1521,140.70600000000002,28.45,10.3
34.9844,139.13299999999998,-2e-05,15.0
34.08,139.52,-0.000414,126.0
34.08,139.52,-0.000246,147.0
30.861,141.314,46.0,115.0
34.08,139.52,-0.00047400000000000003,134.0
27.5,140.5,-3.6e-05,180.0
34.1,139.5,-9e-06,165.0
33.13,139.77,1.305,184.0
13.09,146.08,50.0,10.0
34.08,139.53,-6.9e-05,94.0
34.75,139.42,1.305,303.0
34.08,139.52,-0.00054,121.0
13.09,146.08,50.0,5.0
13.09,146.08,50.0,38.0
30.861,141.314,10.302,10.845999999999998
34.08,139.52,-0.000366,144.0
34.75,139.42,1.305,232.0
34.08,139.52,-0.000135,129.0
29.136999999999997,140.70600000000002,28.45,44.2
30.861,141.314,26.64,7.0
34.1,139.5,-9e-06,163.0
34.15,139.55,-4.7e-05,135.0
34.4,139.29,1.305,72.3
34.08,139.52,-0.000246,144.0
34.1,139.5,-9e-06,161.0
31.8742,141.227,12.8,66.0
34.08,139.52,-0.000135,135.0
34.08,139.52,-0.000414,140.0
17.9357,144.839,1.305,234.0
17.9357,144.839,1.305,234.0
34.08,139.52,-0.000297,149.0
34.08,139.52,-2.6000000000000002e-05,144.0
34.08,139.52,-2.6000000000000002e-05,155.0
34.75,139.42,1.305,70.0
34.75,139.42,1.305,253.0
34.08,139.53,-4.7e-05,138.0
34.08,139.53,-4.7e-05,138.0
34.08,139.53,-6.9e-05,117.0
34.75,139.42,1.305,307.0
33.13,139.77,1.305,120.0
31.5,140.0,1.305,169.0
31.47,140.03,1.305,202.1
19.632,146.542,1.305,181.0
34.15,139.55,-4.7e-05,151.0
34.08,139.52,-0.00047400000000000003,132.0
34.08,139.52,-0.000135,133.0
34.08,139.52,-0.00047400000000000003,122.0
31.875,141.227,46.0,89.0
31.875,141.227,46.0,87.0
31.875,141.227,46.0,89.0
34.9844,139.13299999999998,-2e-05,77.0
12.73,145.48,50.0,4.0
12.73,145.48,50.0,2.0
31.5,140.0,1.305,197.9
13.09,146.08,50.0,19.0
31.5,140.0,1.305,111.3
34.08,139.53,-6.9e-05,117.0
34.08,139.52,-0.000135,131.0
34.08,139.53,-6.9e-05,142.0
14.0703,145.112,28.45,37.1
14.0703,145.112,28.45,39.8
33.13,139.77,1.305,193.0
34.08,139.52,-2.6000000000000002e-05,118.3
34.08,139.52,-2.6000000000000002e-05,150.0
34.08,139.52,-2.6000000000000002e-05,159.0
34.75,139.42,1.305,157.0
12.73,145.48,50.0,41.0
31.47,140.03,1.305,152.3
34.08,139.52,-9e-06,63.0
33.13,139.77,1.305,43.0
31.8742,141.227,12.8,70.0
34.08,139.52,-0.00047400000000000003,128.0
34.08,139.52,-0.000246,129.0
34.08,139.52,-0.000135,133.0
34.08,139.52,-2.6000000000000002e-05,119.0
34.08,139.52,-6.9e-05,116.0
34.08,139.52,-0.000246,136.0
34.15,139.55,-4.7e-05,142.0
14.0703,145.112,28.45,87.9
14.0703,145.112,28.45,94.3
34.08,139.52,-0.000366,119.0
34.08,139.52,-2.6000000000000002e-05,152.8
13.09,146.08,50.0,4.0
34.08,139.52,-0.000246,127.0
34.75,139.42,1.305,107.0
34.08,139.53,-4.7e-05,134.0
34.08,139.53,-4.7e-05,134.0
34.08,139.53,-4.7e-05,134.0
34.08,139.52,-4.7e-05,136.4
13.09,146.08,50.0,12.0
34.75,139.42,1.305,141.0
34.08,139.53,-6.9e-05,39.0
34.08,139.53,-6.9e-05,107.0
34.75,139.42,1.305,124.0
34.08,139.53,-6.9e-05,126.0
31.47,140.03,1.305,140.2
34.15,139.55,-0.000198,138.0
34.08,139.52,-2.6000000000000002e-05,154.0
34.08,139.52,-9e-06,90.0
33.13,139.77,1.305,172.0
34.08,139.53,-6.9e-05,132.0
34.15,139.55,-4.7e-05,139.0
34.08,139.52,-0.00047400000000000003,127.0
31.47,140.03,1.305,200.5
34.75,139.42,1.305,190.0
30.861,141.314,39.981,157.114
30.861,141.314,39.981,155.847
34.75,139.42,1.305,176.0
18.12,145.76,0.0049,175.0
13.09,146.08,50.0,12.0
30.861,141.314,29.608,154.68200000000002
30.861,141.314,29.608,153.866
34.08,139.52,-0.000366,147.0
34.08,139.53,-6.9e-05,82.0
34.08,139.53,-6.9e-05,82.0
33.13,139.77,1.305,136.0
34.08,139.52,-0.000414,125.0
33.13,139.77,1.305,164.0
34.15,139.55,-4.7e-05,142.0
34.08,139.53,-4.7e-05,142.0
34.08,139.53,-4.7e-05,142.0
34.08,139.53,-4.7e-05,142.0
34.08,139.53,-6.9e-05,120.0
34.75,139.42,1.305,156.0
34.08,139.52,-2.6000000000000002e-05,144.0
13.09,146.08,50.0,6.0
34.75,139.42,1.305,222.0
34.08,139.52,-0.00047400000000000003,133.0
34.75,139.42,1.305,313.0
34.08,139.52,-0.000135,137.0
19.632,146.542,1.305,196.0
31.3132,143.4,158.25,43.9
34.08,139.52,-0.000174,107.0
