LATITUDE,LONGITUDE,AGE,CU
35.0,132.0,8.340000000000001e-05,36.0
32.7,132.8,16.0,5.3
35.35,138.73,-0.000302,66.0
34.0,130.0,1.305,25.0
23.58,119.5,12.8,72.0
32.6,129.4,11.5,30.4
25.48,122.1,3.95,38.5
35.0,136.0,275.0,21.0
35.5,136.0,105.5,46.0
25.0,120.0,3.95,32.9
36.0,136.0,14.15,26.0
32.6,129.4,11.5,56.6
15.13,120.35,-1.8e-05,47.0
34.8,136.0,105.5,3.0
35.4,133.0,13.8,17.0
34.8,136.0,105.5,2.0
31.0,130.0,12.8,41.0
23.58,119.5,12.8,74.0
25.48,122.1,1.3,38.9
24.83,121.33,14.15,28.0
34.5,131.8,60.65,46.0
24.83,121.33,14.15,74.0
35.35,138.73,-0.000302,70.0
33.5,130.5,105.5,77.0
34.5,131.8,60.65,48.0
35.35,138.73,-0.000302,168.0
15.0511,120.37200000000001,1.3,81.0
15.0833,120.03399999999999,1.3,64.0
15.15,120.367,1.3,106.0
15.15,120.367,1.3,81.0
15.1333,120.367,1.3,37.0
15.1333,120.367,1.3,14.0
15.1333,120.367,1.3,104.0
15.1681,120.322,1.3,46.0
15.1633,120.324,1.3,56.0
15.1633,120.324,1.3,53.0
15.0778,120.30799999999999,1.3,87.0
15.0778,120.30799999999999,1.3,45.0
15.0778,120.30799999999999,1.3,38.0
15.1328,120.48299999999999,1.3,32.0
15.0833,120.333,1.3,22.0
15.0833,120.333,1.3,12.0
15.1322,120.48299999999999,1.3,13.0
15.2667,120.367,1.3,11.0
15.2667,120.367,1.3,36.0
15.2667,120.367,1.3,18.0
15.2667,120.367,1.3,17.0
15.2667,120.367,1.3,42.0
15.2667,120.367,1.3,23.0
15.2667,120.367,1.3,18.0
15.2667,120.367,1.3,39.0
15.1833,120.5,1.3,17.0
15.1833,120.5,1.3,16.0
15.1833,120.5,1.3,19.0
15.1833,120.5,1.3,14.0
15.1833,120.5,1.3,14.0
15.1333,120.5,1.3,17.0
15.1833,120.493,1.3,10.0
15.2483,120.367,1.3,22.0
15.2483,120.367,1.3,34.0
