SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	METHOD	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	CU
SU-1		GEOROC	TAKAGI, T.; KAGAMI, H.; IIZUMI, S., 1989		35	132	0.01	8.04e-05	8.04e-05	8.04e-05	XRF	IGNEOUS	PLUTONIC	FELSIC	GRANITE		28
PGU04		GEOROC	WANG, KUO-LUNG; CHUNG, SUN-LIN; O^REILLY, S. Y.; SUN, SHEN-SU; SHINJO, R.; CHEN, CHANG-HWA, 2004		25.5	122	0.01	0	32.75	65.5	ICPMS	IGNEOUS	VOLCANIC	MAFIC	BASALT		17.7
OT-45		GEOROC	YUHARA, MASAKI; KAGAMI, H., 1999		34.5	136	0.01				XRF	METAMORPHIC	UNKNOWN	UNKNOWN	NOT-GIVEN		11
KU01		GEOROC	TIBA, T., 1989		29.97	129.93	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		16.6
760512-6		GEOROC	IMAOKA, T., 1986		34.5	131.8	0.01	55.8	60.65	65.5	NOT GIVEN	IGNEOUS	VOLCANIC	FELSIC	RHYOLITE		6
357406		GEOROC	MACPHERSON, C. G.; DREHER, S. T.; THIRLWALL, M. F., 2006		9.688	125.559	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ADAKITE		60
108		GEOROC	SUDA, Y., 2004		35.2	134.6	0.01	0.01	1.305	2.6	XRF	METAMORPHIC	UNKNOWN	UNKNOWN	METAGABBRO		62.2
M001		GEOROC	JUANG, WEN-SHING, 1996		24.92	121.43	0.01	5.3	14.15	23	AAS	IGNEOUS	VOLCANIC	MAFIC	BASALT		54
20429-7		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A., 2005		35.5	136.8	0.01	145.5	173.55	201.6	XRF	IGNEOUS	VOLCANIC	UNKNOWN	PICRITE		45
2016-3BPM3		GEOROC	KANEKO, K.; INOUE, K.; KOYAGUCHI, T.; YOSHIKAWA, M.; SHIBATA, T.; TAKAHASHI, T.; FURUKAWA, K., 2015		32.9673	131.4	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		2.5
JF-21L		GEOROC	WATANABE, S.; WIDOM, E.; UI, T.; MIYAJI, N.; ROBERTS, A. M., 2006		35.35	138.73	0.01	-0.000302	-0.000302	-0.000302	DCPAES	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		69
66T-145		GEOROC	ISHIHARA, S.; TERASHIMA, S., 1977		34.8	136	0.01	65.5	105.5	145.5	AAS	IGNEOUS	PLUTONIC	UNKNOWN	NOT-GIVEN		1
824-2		GEOROC	SHIRAKI, K.; MIYAMOTO, M.; MATSUO, H.; UEKI, Y.; AZUMA, T.; NAGAO, T.; MATSUMOTO, Y.; TAJIMA, T., 2000		32.6	129.4	0.01	0	11.5	23	XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		30
51504A		GEOROC	SANO, S.; HAYASAKA, Y.; TAZAKI, K., 2000		35	135	0.01				XRF	METAMORPHIC	UNKNOWN	UNKNOWN	GREENSTONE		98
LUZ670C		GEOROC	EVANS, C. A.; CASTANEDA, G.; FRANCO, H., 1991		15.27	120	0.01				DCPAES	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		26
TAN-15		GEOROC	YUHARA, MASAKI; KAGAMI, H., 1999		35.8	137.9	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	GRANODIORITE		2
OTO-4		GEOROC	TATSUMI, Y.; SUZUKI, T.; KAWABATA, H.; SATO, KOHEI; MIYAZAKI, T.; CHANG, QING; TAKAHASHI, T.; TANI, K.; SHIBATA, T.; YOSHIKAWA, M., 2006		34.45	134.17	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		33
KY-02		GEOROC	IMAOKA, T.; NAKASHIMA, K.; KAMEI, A.; ITAYA, T.; OHIRA, T.; NAGASHIMA, M.; KONO, N.; KIJI, M., 2014		34.7	135.3	0.01				XRF	XENOLITH	UNKNOWN	UNKNOWN	PERIDOTITE		202
L-22		GEOROC	CHEN, CHENG-HONG, 1999		23.85	120.767	0.01	0.01	1.305	2.6	AAS	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		52
NAK-49		GEOROC	YUHARA, MASAKI, 1994		35.8	137.9	0.01	92.7	92.7	92.7	NOT GIVEN	IGNEOUS	PLUTONIC	FELSIC	GRANITE		0
LUZ660A		GEOROC	EVANS, C. A.; CASTANEDA, G.; FRANCO, H., 1991		16.05	120.05	0.01				DCPAES	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		17
NM-19		GEOROC	AGATA, T.; ADACHI, M.; TSUBOI, M., 2009		36	137	0.01				XRF	IGNEOUS	VOLCANIC	MAFIC	BASALT		100
OTO-10		GEOROC	TATSUMI, Y.; SUZUKI, T.; KAWABATA, H.; SATO, KOHEI; MIYAZAKI, T.; CHANG, QING; TAKAHASHI, T.; TANI, K.; SHIBATA, T.; YOSHIKAWA, M., 2006		34.45	134.17	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		25
J407A		GEOROC	JUANG, WEN-SHING, 1996		23.07	120.38	0.01	5.3	14.15	23	AAS	IGNEOUS	VOLCANIC	MAFIC	BASALT		27
72N-70		GEOROC	GOTO, H.; KANISAWA, S.; KATADA, M., 1977		34.5	137	0.01				AAS	IGNEOUS	PLUTONIC	INTERMEDIATE	DIORITE		10
96071904		GEOROC	FUJII, H.; TAINOSHO, Y.; KAGAMI, H.; KAKIUCHI, T., 2000		34.5	135.5	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	TONALITE		7
96022502-2		GEOROC	FUJII, H.; TAINOSHO, Y.; KAGAMI, H.; KAKIUCHI, T., 2000		34.5	135.5	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	TONALITE		8
11YS49		GEOROC	HONG, WENTAO; XU, XISHENG; ZOU, HAIBO, 2013		25	118.9	0.01	65.5	82.55	99.6	ICPMS	IGNEOUS	VOLCANIC	FELSIC	RHYOLITE		1.9
L3907-4		GEOROC	KUSHENDRATNO, ; PALLISTER, J. S.; KRISTIANTO, ; BINA, F. R.; MCCAUSLAND, W.; CARN, S. A.; HAERANI, N.; GRISWOLD, J.; KEELER, R., 2012		1.358	124.792	0.01				XRF	IGNEOUS	VOLCANIC	FELSIC	DACITE		28
DZ02B		GEOROC	BRENNA, M.; NAKADA, S.; MIURA, D.; TOSHIDA, K.; ITO, H.; HOKANISHI, N.; NAKAI, S., 2015		36.0878	133.041	0.01				XRF	IGNEOUS	PLUTONIC	INTERMEDIATE	SYENITE		5
02.05.25.02		GEOROC	KIYOSUGI, K.; HORIKAWA, Y.; NAGAO, T.; ITAYA, T.; CONNOR, C. B.; TANAKA, K., 2014		34.5246	131.617	0.01				XRF	IGNEOUS	VOLCANIC	UNKNOWN	NOT-GIVEN		36
020523-1		GEOROC	ICHIYAMA, Y.; ISHIWATARI, A.; KOIZUMI, K., 2008		35.5	136.8	0.01	251	275	299	INAA	IGNEOUS	VOLCANIC	MAFIC	DOLERITE		38
357409		GEOROC	MACPHERSON, C. G.; DREHER, S. T.; THIRLWALL, M. F., 2006		9.671	125.562	0.01				XRF	IGNEOUS	VOLCANIC	INTERMEDIATE	ADAKITE		260
MHY-9		GEOROC	WANG, KUO-LUNG; CHUNG, SUN-LIN; CHEN, CHANG-HWA; CHEN, CHENG-HONG, 2002		25.48	122.1	0.01	2.6	3.95	5.3	ICPMS	IGNEOUS	VOLCANIC	INTERMEDIATE	ANDESITE		47.3
H-8		GEOROC	KAWABE, I., 1974		34.3	135.9	0.01				AAS	IGNEOUS	VOLCANIC	MAFIC	BASALT		79
